ID | TIẾT | MỨC ĐỘ | CÂU HỎI | ĐÁP ÁN ĐÚNG | CÁC ĐÁP ÁN NHIỄU KHÁC (CÁCH NHAU DẤU PHẨY)
178 | 128 | 1 | HHCN có thể tích 60 cm³, dài 5cm, rộng 4cm. Chiều cao c là: | 3 cm | 4 cm, 5 cm, 12 cm
179 | 128 | 1 | Bể bơi dài 10m, rộng 5m, cao c là 2m. Thể tích nước đầy bể là: | 100 m³ | 50 m³, 70 m³, 100 m²
180 | 128 | 1 | Để tính diện tích lát gạch bể bơi (không nắp), ta tính: | Sxq + S-đáy | Sxq, Stp, Sxq + 2 × S-đáy
181 | 129 | 1 | Một khối gỗ dạng HHCN có các kích thước 5dm, 3dm, 3dm. Thể tích là: | 45 dm³ | 11 dm³, 30 dm³, 15 dm³
182 | 129 | 1 | Hộp lập phương cạnh 2,5dm. Diện tích một mặt là: | 6 | 25 dm², 2, 5 dm², 5 dm², 6, 25 dm³
183 | 129 | 1 | Nếu cắt đi một khối gỗ thể tích 8dm³ từ khối gỗ 45dm³ thì phần còn lại là: | 37 dm³ | 53 dm³, 35 dm³, 40 dm³
184 | 129 | 1 | Mực nước trong hộp Fig 1 cao 8cm, đáy 8x8. Thể tích nước là: | 512 cm³ | 64 cm³, 192 cm³, 256 cm³
185 | 129 | 1 | Thể tích nước 512 cm³, đáy mới 16x8. Chiều cao c là: | 4 cm | 8 cm, 2 cm, 16 cm
186 | 129 | 1 | Diện tích toàn phần của hình lập phương cạnh a là: | a × a × 6 | a × a × 4, a × a × a, a × 4 × 6
187 | 129 | 1 | Một hình lập phương có diện tích một mặt là 9 cm². Thể tích của nó là: | 27 cm³ | 18 cm³, 54 cm³, 81 cm³
188 | 129 | 1 | Đổi 2,5 dm² sang cm² ta được: | 250 cm² | 25 cm², 2500 cm², 0, 25 cm²
189 | 129 | 1 | Muốn tính thể tích HHCN khi biết diện tích đáy S và chiều cao c: | V = S × c | V = S : c, V = c : S, V = S + c
190 | 129 | 1 | HHCN có V = 120 cm³, đáy có diện tích 30 cm². Chiều cao c là: | 4 cm | 40 cm, 4 dm, 4 mm
191 | 129 | 1 | Gấp cạnh hình lập phương lên 2 lần thì diện tích toàn phần tăng: | 4 lần | 2 lần, 6 lần, 8 lần
192 | 129 | 1 | Gấp cạnh hình lập phương lên 2 lần thì thể tích tăng: | 8 lần | 2 lần, 4 lần, 16 lần
193 | 129 | 1 | Bình chứa 1 lít nước (1 dm³). Đổ vào hộp đáy 10x10 cm thì cao c là: | 10 cm | 1 cm, 100 cm, 0, 1 cm
194 | 129 | 1 | Một mặt hình lập phương có chu vi 20 cm. Thể tích là: | 125 cm³ | 100 cm³, 150 cm³, 20 cm³
195 | 129 | 1 | Khối gỗ 3dm x 3dm x 3dm. Cắt đi 1dm x 1dm x 1dm ở góc. Sxq có đổi không? | Không đổi | Tăng lên, Giảm đi, Tùy vị trí cắt
196 | 130 | 1 | Năm 2024 thuộc thế kỉ thứ mấy? | XXI | XX, XV, XIX
197 | 130 | 1 | 1 năm nhuận có bao nhiêu ngày? | 366 ngày | 365 ngày, 364 ngày, 360 ngày
198 | 130 | 1 | Tháng nào sau đây chỉ có 28 hoặc 29 ngày? | Tháng 2 | Tháng 1, Tháng 3, Tháng 4
199 | 130 | 1 | Thế kỉ thứ XV kéo dài từ năm nào đến năm nào? | Từ năm 1401 đến 1500 | Từ năm 1400 đến 1499, Từ năm 1500 đến 1599, Từ năm 1501 đến 1600
200 | 130 | 1 | 1 thế kỉ bằng bao nhiêu năm? | 100 năm | 10 năm, 50 năm, 1000 năm
201 | 130 | 1 | Tháng nào sau đây có 31 ngày? | Tháng 8 | Tháng 4, Tháng 6, Tháng 11
202 | 130 | 1 | Tháng nào sau đây có 30 ngày? | Tháng 9 | Tháng 3, Tháng 10, Tháng 12
203 | 130 | 1 | Đổi 120 phút bằng bao nhiêu giờ? | 5 giờ | 1, 2 giờ, 2, 5 giờ, 1, 2 giờ
204 | 130 | 1 | Đổi 2,5 năm bằng bao nhiêu tháng? | 30 tháng | 25 tháng, 24 tháng, 12 tháng
205 | 130 | 1 | Năm 1010 kỉ niệm 1000 năm Thăng Long - Hà Nội vào thế kỉ nào? | Thế kỉ XXI | Thế kỉ XX, Thế kỉ XIX, Thế kỉ X
206 | 130 | 1 | Kim giây quay được 1 vòng thì kim phút quay được: | 1/60 vòng | 1 vòng, 60 vòng, 1 nấc (1 phút)
207 | 130 | 1 | Đổi 1,5 giờ ra phút ta được: | 90 phút | 150 phút, 105 phút, 60 phút
208 | 130 | 1 | Tháng 2 của năm nhuận có bao nhiêu ngày? | 29 ngày | 28 ngày, 30 ngày, 31 ngày
209 | 130 | 1 | Từ 1 giờ 15 phút đến 2 giờ là bao nhiêu phút? | 45 phút | 15 phút, 30 phút, 60 phút
210 | 130 | 1 | Năm 1904 có phải là năm nhuận không? | Phải | Không phải, Tùy quốc gia, Chưa xác định
211 | 131 | 1 | 3 giờ 15 phút + 2 giờ 10 phút = ? | 5 giờ 25 phút | 5 giờ 15 phút, 6 giờ 25 phút, 5 giờ 35 phút
212 | 131 | 1 | 45 phút + 30 phút = ? | 1 giờ 15 phút | 1 giờ 30 phút, 1 giờ 45 phút, 75 phút
213 | 131 | 1 | 10 phút 20 giây + 5 phút 50 giây = ? | 16 phút 10 giây | 15 phút 10 giây, 15 phút 70 giây, 16 phút 20 giây
214 | 131 | 1 | An bắt đầu làm bài lúc 14 giờ 20 phút, làm xong sau 40 phút. An làm xong lúc mấy giờ? | 15 giờ | 14 giờ 50 phút, 15 giờ 10 phút, 14 giờ 60 phút
215 | 131 | 1 | Trong phép cộng số đo thời gian, nếu số phút bằng hoặc lớn hơn 60, ta nên: | Trừ đi 60 và cộng 1 vào hàng giờ | Giữ nguyên, Chia cho 10, Xóa đi
216 | 131 | 1 | 2 giờ 45 phút + 1 giờ 15 phút = ? | 4 giờ | 3 giờ 60 phút, 4 giờ 15 phút, 3 giờ 100 phút
217 | 131 | 1 | 5 giờ 30 phút + 30 phút = ? | 6 giờ | 5 giờ 60 phút, 6 giờ 30 phút, 5 giờ 30 phút
218 | 131 | 1 | 12 phút 40 giây + 3 phút 25 giây = ? | 16 phút 5 giây | 15 phút 65 giây, 15 phút 5 giây, 16 phút 15 giây
219 | 131 | 1 | Mẹ đi chợ hết 1 giờ 15 phút, nấu ăn hết 45 phút. Tổng thời gian là bao lâu? | 2 giờ | 1 giờ 60 phút, 1 giờ 30 phút, 2 giờ 15 phút
220 | 131 | 1 | 8 giờ 20 phút + 2 giờ 45 phút = ? | 11 giờ 5 phút | 10 giờ 65 phút, 10 giờ 5 phút, 11 giờ 15 phút
221 | 132 | 1 | 15 phút 40 giây - 10 phút 20 giây = ? | 5 phút 20 giây | 5 phút 10 giây, 5 phút 30 giây, 5 phút 60 giây
222 | 132 | 1 | 12 giờ 30 phút - 2 giờ = ? | 10 giờ 30 phút | 10 giờ, 10 giờ 15 phút, 10 giờ 45 phút
223 | 132 | 1 | 2 giờ - 30 phút = ? | 1 giờ 30 phút | 1 giờ, 1 giờ 15 phút, 2 giờ 30 phút
224 | 132 | 1 | 5 phút 10 giây - 2 phút 20 giây = ? | 2 phút 50 giây | 3 phút 10 giây, 2 phút 40 giây, 3 phút 50 giây
225 | 132 | 1 | Hôm nay Nam làm bài tập hết 1 giờ 15 phút, hôm qua làm hết 50 phút. Hôm nay Nam làm lâu hơn bao nhiêu? | 25 phút | 35 phút, 15 phút, 45 phút
226 | 132 | 1 | 10 phút - 4 phút 45 giây = ? | 5 phút 15 giây | 6 phút 15 giây, 5 phút 45 giây, 6 phút 45 giây
227 | 132 | 1 | 8 giờ 20 phút - 2 giờ 45 phút = ? | 5 giờ 35 phút | 6 giờ 35 phút, 5 giờ 45 phút, 6 giờ 45 phút
228 | 132 | 1 | Xe xuất phát lúc 7 giờ 30 phút, đến nơi lúc 10 giờ. Thời gian đi là bao lâu? | 2 giờ 30 phút | 3 giờ 30 phút, 2 giờ, 3 giờ
229 | 132 | 1 | Phim dài 1 giờ 45 phút, xem được 1 giờ 10 phút thì còn lại bao nhiêu thời gian? | 35 phút | 25 phút, 45 phút, 15 phút
230 | 132 | 1 | 1 ngày - 10 giờ = ? | 14 giờ | 12 giờ, 10 giờ, 24 giờ
231 | 133 | 1 | 1 giờ 25 phút x 3 = ? | 3 giờ 75 phút | 4 giờ 15 phút, 4 giờ 25 phút, 3 giờ 15 phút
232 | 133 | 1 | 2 giờ 20 phút x 2 = ? | 4 giờ 20 phút | 4 giờ 40 phút, 5 giờ, 4 giờ
233 | 133 | 1 | 1 phút 30 giây x 10 = ? | 13 phút | 10 phút 30 giây, 15 phút, 15 phút 30 giây
234 | 133 | 1 | 1 giờ 15 phút x 4 = ? | 4 giờ 60 phút | 5 giờ, 4 giờ 15 phút, 6 giờ
235 | 133 | 1 | 2 phút 45 giây x 2 = ? | 4 phút 90 giây | 5 phút 30 giây, 5 phút 15 giây, 5 phút
236 | 133 | 1 | 12 phút 30 giây x 2 = ? | 24 phút 60 giây | 25 phút, 26 phút, 24 phút
237 | 134 | 1 | 12 phút : 3 = ? | 4 phút | 3 phút, 4 giây, 36 phút
238 | 134 | 1 | 2 giờ 30 phút : 2 = ? | 1 giờ 15 phút | 1 giờ 30 phút, 1 giờ 45 phút, 75 phút
239 | 134 | 1 | 5 phút 15 giây : 3 = ? | 1 phút 45 giây | 1 phút 5 giây, 2 phút 5 giây, 1 phút 25 giây
240 | 134 | 1 | Robot chạy 4 vòng sân hết 10 phút. Trung bình mỗi vòng hết bao lâu? | 2 phút 30 giây | 2 phút 15 giây, 2 phút 50 giây, 3 phút
241 | 134 | 1 | 6 giờ 40 phút : 4 = ? | 1 giờ 40 phút | 1 giờ 10 phút, 2 giờ 10 phút, 1 giờ 20 phút
242 | 134 | 1 | 15 phút 50 giây : 5 = ? | 3 phút 10 giây | 3 phút, 3 phút 50 giây, 5 phút 10 giây
243 | 134 | 1 | 24 giờ : 6 = ? | 4 giờ | 6 giờ, 3 giờ, 8 giờ
244 | 134 | 1 | 45 phút : 9 = ? | 5 phút | 10 phút, 4 phút, 6 phút
245 | 134 | 1 | Một vòi nước chảy đầy bể trong 2 giờ. Hỏi 4 vòi chảy cùng lúc hết bao lâu? | 30 phút | 1 giờ, 2 giờ, 4 giờ
246 | 134 | 1 | 10 phút 20 giây : 2 = ? | 5 phút 10 giây | 5 phút, 10 phút, 6 phút 20 giây
247 | 136 | 1 | Muốn tính vận tốc ta lấy quãng đường chia cho...? | thời gian | chiều dài, chiều rộng, chu vi
248 | 136 | 1 | Công thức tính vận tốc là: | v = s : t | v = s x t, v = t : s, v = s + t
249 | 136 | 1 | Đơn vị đo vận tốc thường gặp là: | km/h hoặc m/s | kg hoặc g, m hoặc km, giờ hoặc phút
250 | 136 | 1 | Một ô tô đi được 120 km trong 2 giờ. Vận tốc của ô tô là: | 60 km/h | 120 km/h, 240 km/h, 30 km/h
251 | 136 | 1 | Một người đi xe đạp đi được 30 km trong 2 giờ. Vận tốc của người đó là: | 15 km/h | 30 km/h, 60 km/h, 10 km/h
252 | 136 | 1 | Một con chim ưng bay được 90 m trong 3 giây. Vận tốc của nó là: | 30 m/s | 90 m/s, 270 m/s, 10 m/s
253 | 136 | 1 | Một người chạy bộ 100 m hết 20 giây. Vận tốc của người đó là: | 5 m/s | 10 m/s, 20 m/s, 50 m/s
254 | 136 | 1 | Đổi: 1 phút 20 giây = ... giây? | 80 giây | 120 giây, 60 giây, 40 giây
255 | 136 | 1 | Một đoàn tàu đi 200 km trong 4 giờ. Vận tốc của đoàn tàu là: | 50 km/h | 40 km/h, 100 km/h, 200 km/h
256 | 136 | 1 | v = 45 km/h, t = 2 giờ. Quãng đường s là: | 90 km | 45 km, 47 km, 22 5 km
257 | 137 | 1 | Đổi: 108 km/h = ... m/s? | 30 m/s | 20 m/s, 10 m/s, 40 m/s
258 | 137 | 1 | Đổi: 18 km/h = ... m/s? | 5 m/s | 10 m/s, 15 m/s, 20 m/s
259 | 137 | 1 | Vận tốc đà điểu chạy 5250 m hết 300 giây là: | 17,5 m/s | 15 m/s, 20 m/s, 18 5 m/s
260 | 137 | 1 | Bác Nùng đi 15 km xe buýt hết 30 phút. Vận tốc xe buýt là: | 30 km/h | 45 km/h, 15 km/h, 60 km/h
261 | 137 | 1 | Xe Đỏ (15 m/s), Xe Đen (16 m/s), Xe Trắng (14 m/s). Xe nào nhanh nhất? | Xe màu đen | Xe màu đỏ, Xe màu trắng, Cả 3 xe bằng nhau
262 | 137 | 1 | 1 km/h tương ứng bao nhiêu m/phút? | 16,67 m/phút | 60 m/phút, 100 m/phút, 10 m/phút
263 | 137 | 1 | Một người đi xe đạp vận tốc 12 km/h. Sau 2 giờ người đó đi được: | 24 km | 6 km, 14 km, 20 km
264 | 137 | 1 | Công thức tính quãng đường s khi biết v và t là: | s = v x t | s = v : t, s = t : v, s = v + t
265 | 137 | 1 | Đổi: 1 giờ 15 phút = ... phút? | 75 phút | 60 phút, 90 phút, 115 phút
266 | 137 | 1 | Vận tốc âm thanh trong không khí khoảng 340 m/s, tương đương: | 1224 km/h | 1000 km/h, 340 km/h, 680 km/h
267 | 138 | 1 | Muốn tính quãng đường ta lấy vận tốc ... với thời gian? | nhân | chia, cộng, trừ
268 | 138 | 1 | Công thức tính quãng đường là: | s = v x t | s = v : t, v = s : t, t = s : v
269 | 138 | 1 | Một ô tô đi với vận tốc 60 km/h trong 2 giờ. Quãng đường là: | 120 km | 60 km, 30 km, 180 km
270 | 138 | 1 | Một người đi xe đạp 15 km/h trong 3 giờ. Quãng đường là: | 45 km | 30 km, 15 km, 60 km
271 | 138 | 1 | Một tàu biển đi 35 km/h trong 4 giờ. Quãng đường là: | 140 km | 120 km, 70 km, 175 km
272 | 138 | 1 | Chim cắt bay 100 m/s trong 10 giây. Quãng đường là: | 1000 m | 100 m, 10 m, 10000 m
273 | 138 | 1 | Chú Luân đi từ 7h đến 9h với vận tốc 50 km/h. Quãng đường là: | 100 km | 50 km, 150 km, 200 km
274 | 138 | 1 | Đổi: 1 giờ 30 phút = ... giờ? | 1,5 giờ | 1 3 giờ, 1 05 giờ, 2 giờ
275 | 138 | 1 | v = 40 km/h, t = 1,5 giờ. Quãng đường s là: | 60 km | 40 km, 41 5 km, 80 km
276 | 138 | 1 | Tại sao cần cùng đơn vị giữa vận tốc và thời gian? | Để tính toán chính xác | Để hình vẽ đẹp hơn, Để đề bài dài hơn, Không cần thiết
277 | 139 | 1 | Muốn tính thời gian ta lấy quãng đường ... cho vận tốc? | chia | nhân, cộng, trừ
278 | 139 | 1 | Công thức tính thời gian là: | t = s : v | t = s x v, v = s : t, s = v : t
279 | 139 | 1 | Một ô tô đi được 120 km với vận tốc 60 km/h hết bao lâu? | 2 giờ | 3 giờ, 4 giờ, 1 giờ
280 | 139 | 1 | Thầy Nam đi bộ 9 km với vận tốc 1,5 km/h. Thời gian là: | 6 giờ | 13 5 giờ, 4 giờ, 10 giờ
281 | 139 | 1 | VĐV trượt tuyết 600m với vận tốc 24 m/s. Thời gian là: | 25 giây | 20 giây, 30 giây, 15 giây
282 | 139 | 1 | Đi quãng đường 80 km với vận tốc 40 km/h mất bao lâu? | 2 giờ | 40 giờ, 1 5 giờ, 3 giờ
283 | 139 | 1 | Một người đi xe máy 100 km hết 2 giờ. Vận tốc là: | 50 km/h | 200 km/h, 25 km/h, 40 km/h
284 | 139 | 1 | Đổi: 1,5 giờ = ... phút? | 90 phút | 60 phút, 150 phút, 45 phút
285 | 139 | 1 | v = 30 km/h, s = 75 km. t = ...? | 2,5 giờ | 2 1 giờ, 3 giờ, 2 giờ
286 | 139 | 1 | Thời gian đi ngược dòng 75 km với v = 25 km/h là: | 3 giờ | 2 5 giờ, 2 giờ, 3 5 giờ
287 | 140 | 1 | Một ô tô đi 60 km/h trong 2 giờ. Quãng đường là: | 120 km | 60 km, 30 km, 180 km
288 | 140 | 1 | Công thức tính thời gian là: | t = s : v | t = s x v, v = s : t, s = v : t
289 | 140 | 1 | s = 28 km, v = 14 km/h. Thời gian t = ...? | 2 giờ | 14 giờ, 0 5 giờ, 4 giờ
290 | 140 | 1 | v = 30 000 km/h, t = 14 giờ. Quãng đường s là: | 420 000 km | 300 000 km, 450 000 km, 42 000 km
291 | 140 | 1 | Xe tải đi 60 km với vận tốc 45 km/h. Thời gian đi là: | 1 giờ 20 phút | 1 giờ 30 phút, 1 giờ 15 phút, 2 giờ
292 | 140 | 1 | Tại mỗi điểm dừng nghỉ 15 phút. Dừng 3 điểm hết: | 45 phút | 30 phút, 1 giờ, 15 phút
293 | 140 | 1 | Tổng thời gian đi 1h20p và nghỉ 45p là: | 2 giờ 5 phút | 2 giờ, 1 giờ 65 phút, 2 giờ 15 phút
294 | 140 | 1 | Đoàn tàu đi từ 6h10 đến 10h40 hết bao lâu? | 4 giờ 30 phút | 4 giờ 10 phút, 4 giờ, 4 giờ 20 phút
295 | 140 | 1 | 4 giờ 30 phút đổi ra số thập phân là: | 4,5 giờ | 4 3 giờ, 4 15 giờ, 5 giờ
296 | 140 | 1 | v = 80 km/h, t = 4,5 giờ. Khoảng cách s là: | 360 km | 320 km, 400 km, 380 km
297 | 140KTGK2 | 1 | 1 m³ bằng bao nhiêu dm³? | 1000 dm³ | 10 dm³, 100 dm³, 10 000 dm³
298 | 140KTGK2 | 1 | Hình hộp chữ nhật có bao nhiêu mặt? | 6 mặt | 4 mặt, 8 mặt, 12 mặt
299 | 140KTGK2 | 1 | 1 giờ 15 phút bằng bao nhiêu phút? | 75 phút | 60 phút, 90 phút, 115 phút
300 | 140KTGK2 | 1 | Công thức tính quãng đường khi biết vận tốc và thời gian là: | s = v x t | s = v : t, v = s : t, t = s : v
301 | 140KTGK2 | 1 | Thể tích hình lập phương có cạnh 3 cm là bao nhiêu? | 27 cm³ | 9 cm³, 54 cm³, 81 cm³
302 | 140KTGK2 | 1 | 3 dm³ bằng bao nhiêu cm³? | 3000 cm³ | 300 cm³, 30 000 cm³, 30 cm³
303 | 140KTGK2 | 1 | Đơn vị đo vận tốc thường gặp là gì? | km/h hoặc m/s | kg hoặc g, m hoặc km, giờ hoặc phút
304 | 140KTGK2 | 2 | Diện tích xung quanh hình hộp chữ nhật dài 5 cm, rộng 3 cm, cao 2 cm là: | 32 cm² | 16 cm², 62 cm², 30 cm²
305 | 140KTGK2 | 2 | Một ô tô đi được 150 km trong 2,5 giờ. Vận tốc của ô tô là: | 60 km/h | 75 km/h, 50 km/h, 152.5 km/h
306 | 140KTGK2 | 2 | 2 năm 6 tháng + 3 năm 8 tháng bằng: | 6 năm 2 tháng | 5 năm 14 tháng, 6 năm 4 tháng, 5 năm 2 tháng
307 | 140KTGK2 | 2 | Một bể cá hình hộp chữ nhật dài 2m, rộng 1m, cao 1,5m. Thể tích bể cá là: | 3 m³ | 4.5 m³, 1.5 m³, 2 m³
308 | 140KTGK2 | 2 | Biết Quãng đường s = 150 km, vận tốc v = 50 km/h. Thời gian đi t bằng: | 3 giờ | 2 giờ, 4 giờ, 100 giờ
309 | 140KTGK2 | 2 | 12 phút 45 giây : 3 bằng: | 4 phút 15 giây | 4 phút 5 giây, 3 phút 15 giây, 4 phút 45 giây
310 | 140KTGK2 | 2 | 1,5 ngày bằng bao nhiêu giờ? | 36 giờ | 24 giờ, 15 giờ, 48 giờ
311 | 140KTGK2 | 3 | Một xe đạp đi từ A lúc 7 giờ và đến B lúc 9 giờ 30 phút với vận tốc 12 km/h. Quãng đường AB dài: | 30 km | 24 km, 36 km, 20 km
312 | 140KTGK2 | 3 | Thể tích một hình lập phương là 64 cm³. Cạnh của hình lập phương đó là: | 4 cm | 8 cm, 16 cm, 2 cm
313 | 140KTGK2 | 3 | Diện tích toàn phần của hình lập phương có cạnh 0,5 m là bao nhiêu? | 1.5 m² | 0.25 m², 1.25 m², 0.125 m²
314 | 140KTGK2 | 3 | Bể bơi dài 25m, rộng 10m, sâu 2m. Người ta lát gạch men đáy và xung quanh. Diện tích cần lát là: | 390 m² | 140 m², 250 m², 500 m²
315 | 140KTGK2 | 3 | Xe máy dự định đi 120km trong 3 giờ. Nếu tăng vận tốc thêm 10km/h thì thời gian đi là: | 2 giờ 24 phút | 2 giờ 30 phút, 2 giờ, 3 giờ

317 | 144 | 1 | Cô Trang đi 6km trong 30 phút. Vận tốc cô là? | 12 km/h | 10 km/h, 15 km/h, 18 km/h
318 | 144 | 1 | Công ty hoạt động từ năm 578 đến 2006 thì được bao nhiêu năm? | 1428 năm | 1528 năm, 1328 năm, 1408 năm
319 | 144 | 2 | 1428 năm bằng bao nhiêu thế kỷ và bao nhiêu năm? | 14 thế kỷ 28 năm | 15 thế kỷ 28 năm, 14 thế kỷ 8 năm, 13 thế kỷ 28 năm
320 | 144 | 1 | Chú bộ đội chạy 6,5km với vận tốc 13km/h hết bao lâu? | 30 phút | 20 phút, 1 giờ, 45 phút
321 | 144 | 3 | Đổi 2,7km/giờ sang m/giây. | 0,5 m/s | 0,75 m/s, 1 m/s, 1,5 m/s
322 | 144 | 2 | Chu vi hình tròn bán kính 5km là bao nhiêu? | 31,4 km | 15,7 km, 62,8 km, 25 km
323 | 144 | 2 | Một tắc-xi bay đi 31,4 km với vận tốc 60 km/h hết bao lâu? | 31,4 phút | 30 phút, 60 phút, 15 phút
324 | 144 | 1 | Hai người gặp nhau sau 4 phút. Đổi 4 phút ra giây. | 240 giây | 200 giây, 300 giây, 120 giây
325 | 144 | 1 | Tí đi bộ 1m/s trong 4 phút được bao nhiêu mét? | 240 m | 400 m, 120 m, 300 m
326 | 144 | 1 | Cún chạy 3m/s trong 240 giây được bao nhiêu mét? | 720 m | 600 m, 800 m, 1000 m
327 | 144 | 1 | Sau khi chạy 30 phút và bơi 1 giờ 30 phút, tổng thời gian là? | 2 giờ | 1 giờ 30 phút, 2 giờ 30 phút, 3 giờ
328 | 144 | 1 | Nếu chú bộ đội xuất phát lúc 4:00 và đi hết 2 giờ, chú đến nơi lúc? | 6:00 | 5:30, 7:00, 6:30
329 | 144 | 1 | Đường kính của hình tròn có bán kính 5km là? | 10 km | 5 km, 15 km, 20 km
330 | 144 | 2 | Một người đi 1km trong 10 phút. Vận tốc là? | 6 km/h | 10 km/h, 5 km/h, 12 km/h
331 | 144 | 1 | Nếu v=5m/s và t=10s thì s bằng bao nhiêu? | 50 m | 500 m, 5 m, 2 m
332 | 155 | 1 | Số thập phân 'Bốn mươi tám đơn vị, chín phần trăm' viết là: | 48,09 | 48,9, 4,89, 48,009
333 | 155 | 1 | Chữ số 5 trong số 12,354 có giá trị là: | 0,05 | 0,5, 0,005, 5
334 | 155 | 1 | 25/100 viết dưới dạng số thập phân là: | 0,25 | 2,5, 0,025, 25
335 | 155 | 1 | Chọn dấu thích hợp: 15,2 ... 15,199 | > | <, =
336 | 155 | 1 | 4m 8cm = ... m | 4,08 | 4,8, 40,8, 0,48
337 | 155 | 1 | 0,75 viết dưới dạng phân số tối giản là: | 3/4 | 1/4, 1/2, 75/100
338 | 155 | 1 | Số thập phân nào lớn nhất trong các số sau: 0,8; 0,81; 0,799; 0,09? | 0,81 | 0,8, 0,799, 0,09
339 | 155 | 1 | 60% viết dưới dạng số thập phân là: | 0,6 | 6,0, 0,06, 60
340 | 155 | 1 | Một mảnh vườn có diện tích 100 m². 25% diện tích là: | 25 m² | 50 m², 75 m², 5 m²
341 | 155 | 1 | Gấp rưỡi tương ứng với bao nhiêu phần trăm? | 150% | 50%, 100%, 200%
342 | 155 | 1 | 1,2 kg = ... g | 1200 | 120, 12, 12000
343 | 155 | 1 | Số 108,06 đọc là: | Một trăm linh tám phẩy không sáu | Một trăm linh tám phẩy sáu, Một trăm tám phẩy không sáu, Mười tám phẩy không sáu
344 | 155 | 1 | Phân số 7/4 viết dưới dạng số thập phân là: | 1,75 | 1,4, 0,74, 7,4
345 | 155 | 1 | Chọn dấu thích hợp: 9,8 ... 9,80 | = | >, <
346 | 155 | 1 | Sắp xếp 1,2; 1,02; 1,22 từ bé đến lớn: | 1,02; 1,2; 1,22 | 1,2; 1,02; 1,22, 1,22; 1,2; 1,02
347 | 135 | 1 | 2 giờ 15 phút × 3 = ? | 6 giờ 45 phút | 6 giờ 30 phút, 7 giờ 15 phút, 5 giờ 45 phút
348 | 135 | 1 | 4 giờ 30 phút : 2 = ? | 2 giờ 15 phút | 2 giờ 30 phút, 2 giờ, 3 giờ 15 phút
349 | 135 | 1 | 1 giờ 40 phút × 4 = ? | 6 giờ 40 phút | 4 giờ 40 phút, 5 giờ 20 phút, 7 giờ 20 phút
350 | 135 | 1 | 3 phút 20 giây × 5 = ? | 16 phút 40 giây | 15 phút 40 giây, 17 phút, 16 phút 20 giây
351 | 135 | 1 | 8 giờ 24 phút : 4 = ? | 2 giờ 6 phút | 2 giờ 4 phút, 2 giờ 24 phút, 2 giờ 12 phút
352 | 135 | 1 | 5 phút 45 giây : 3 = ? | 1 phút 55 giây | 1 phút 45 giây, 2 phút 15 giây, 1 phút 50 giây
353 | 135 | 1 | 3 giờ 48 phút : 6 = ? | 38 phút | 36 phút, 40 phút, 42 phút
354 | 135 | 1 | 12 phút 36 giây × 2 = ? | 25 phút 12 giây | 24 phút 36 giây, 25 phút, 24 phút 72 giây
355 | 135 | 1 | 6 giờ 30 phút : 5 = ? | 1 giờ 18 phút | 1 giờ 6 phút, 1 giờ 30 phút, 1 giờ 15 phút
356 | 135 | 1 | Một công nhân làm 1 sản phẩm hết 2 phút 30 giây. Làm 6 sản phẩm hết bao lâu? | 15 phút | 12 phút, 14 phút 30 giây, 16 phút
357 | 135 | 1 | Ba bạn chạy tiếp sức, mỗi bạn chạy 1 phút 25 giây. Tổng thời gian là? | 4 phút 15 giây | 3 phút 75 giây, 4 phút 5 giây, 5 phút 15 giây
358 | 135 | 1 | Một chuyến xe tốn 9 giờ 36 phút cho 4 chuyến bằng nhau. Mỗi chuyến bao lâu? | 2 giờ 24 phút | 2 giờ 9 phút, 2 giờ 36 phút, 3 giờ
359 | 135 | 1 | 7 phút 12 giây × 5 = ? | 36 phút | 35 phút 12 giây, 36 phút 60 giây, 35 phút
360 | 135 | 1 | 10 giờ 50 phút : 5 = ? | 2 giờ 10 phút | 2 giờ 5 phút, 2 giờ 50 phút, 2 giờ
361 | 135 | 1 | Bạn Minh tập thể dục 45 phút mỗi ngày. Mỗi tuần (7 ngày) bạn tập bao nhiêu? | 5 giờ 15 phút | 5 giờ 45 phút, 4 giờ 15 phút, 6 giờ
362 | 145 | 1 | Một ô tô đi 150km trong 3 giờ. Vận tốc là? | 50 km/h | 60 km/h, 45 km/h, 75 km/h
363 | 145 | 1 | Vận tốc 40km/h, thời gian 2,5 giờ. Quãng đường là? | 100 km | 80 km, 120 km, 90 km
364 | 145 | 1 | Quãng đường 180km, vận tốc 60km/h. Thời gian là? | 3 giờ | 2 giờ, 4 giờ, 2,5 giờ
365 | 145 | 1 | Đổi 36km/h sang m/phút: | 600 m/phút | 60 m/phút, 360 m/phút, 6000 m/phút
366 | 145 | 1 | Một xe máy đi 75km trong 1 giờ 30 phút. Vận tốc là? | 50 km/h | 45 km/h, 60 km/h, 75 km/h
367 | 145 | 1 | Hai xe khởi hành cùng lúc ngược chiều, v₁=40km/h, v₂=50km/h. Sau 2 giờ cách nhau? | 180 km | 90 km, 160 km, 200 km
368 | 145 | 1 | Một người đi bộ 4,5km hết 1 giờ 30 phút. Vận tốc là? | 3 km/h | 4 km/h, 4,5 km/h, 2,5 km/h
369 | 145 | 1 | Vận tốc 15m/s. Đổi sang km/h: | 54 km/h | 45 km/h, 60 km/h, 15 km/h
